text,label
"Listen--I took a steak out of the freezer. I thought we could have a real old-fashioned stag party--just the two of us, what do you say?",neutral
...Your granddad never asked me to sign on as deputy. I done that my own self. Loretta says you're quittin'.,criticism
Then -- you never faced that situation -- faced death...,criticism
I should have never listened to Calvin.,defensive_response
"Absolutely. Listen, if you can't find any, it's okay. I just thought it might be nice.",repair_attempt
He's in love with a girl who's dead. It is dangerous for you to have it. I'm sorry.,neutral
"Examination and interview materials are confidential. We've never violated an applicant's trust, and we never will.",defensive_response
"You don't believe me, huh? Look, I'll show you. It's all in this book.",escalation
"Bullshit! If you're going to hurt me, you hurt me now -- not some long... drawn out hurt that takes weeks of my life because you don't have the balls!",escalation
"Hey, listen, baby, I'm a star.",escalation
"Cut the bullshit, we ain't on a fuckin' playground! I don't believe this shit, both of you got ten years on me, and I'm the only one actin like a professional. You guys act like a bunch of fuckin' niggers. You ever work a job with a bunch of niggers? They're just like you two, always fightin', always sayin' they're gonna kill one another.",criticism
"I was backpacking. Hooked up with these two chicks who were off to see the Burning Man festival. We were gonna take ""E"", have ourselves a little freeball out in the desert. You know the riff, ""Dear Penthouse, I never thought this would happen to me, but --""",neutral
"A dispose-all, what's that but more crap? I've never seen such crap. Oofh, I don't know how people get up in the morning.",criticism
About to pour his sulfa. Sees the wound. Stops. Knows it's fatal.,neutral
"I'm sorry, this is just too convenient.",defensive_response
Oh... I'm sorry I have to rush but I've got to write a story about this thing that just happened... Tell me exactly how it all turned out.,repair_attempt
"No. Sara, you don't understand...",criticism
Yes. We won't be able to have dinner tonight. Something's come up. I hope you don't mind.,neutral
"That's fascinating, Vanessa. Listen, why don't we go into the back and shag?",repair_attempt
Beautiful. What do you think? Should we stop and play nine holes now and operate on the kid later? If he's still alive.,criticism
"Yeah, he's just laying low, waitin' for his comeback. God, listen to this! ""It was morally wrong to take advantage of such an unstable individual...""",repair_attempt
"Perhaps I did... Until fear turned into panic. ThatÂ’s when he hit me, and told me heÂ’d killed my brother... Â“You donÂ’t know what youÂ’ve done,Â” he said. Â“WeÂ’re in deep trouble,Â” he said. Â“We,Â” he said. Â“We.Â” WeÂ’d both be killed if Friedman ever found out you were working for us, he said. We had to stop you and Friedman meeting...",escalation
Catherine says you don't like her.,criticism
"What are you going to do, V? Shoot me? Kill me in cold blood? I don't think so. I'll tell you why. If you had it in you to pull that trigger, you would have done it a long time ago. If I was you, I would have killed me the minute I brought the money home. But you didn't and I know why, because you don't want to kill me. Do you, V? Do you? No, I know you don't.",escalation
I'm sorry.,repair_attempt
"That's right. It's always me, isn't it?",criticism
Just like John. He won't listen.,criticism
